Wvlgth Extraterrestrial_spectrm Direct_normal_irradiance Difuse_horizn_irradiance Direct_tilted_irradiance Difuse_tilted_irradiance Global_tilted_irradiance
.4250E+03 .1860E+01 .7573E+00 .3196E+00 .6675E+00 .2275E+00 .8950E+00
.4260E+03 .1806E+01 .7413E+00 .3099E+00 .6534E+00 .2209E+00 .8743E+00
.4270E+03 .1770E+01 .7307E+00 .3028E+00 .6441E+00 .2161E+00 .8602E+00
.4280E+03 .1723E+01 .7149E+00 .2936E+00 .6301E+00 .2100E+00 .8402E+00
.4290E+03 .1627E+01 .6803E+00 .2769E+00 .5997E+00 .1991E+00 .7988E+00
.4300E+03 .1421E+01 .5981E+00 .2412E+00 .5272E+00 .1744E+00 .7016E+00
.4310E+03 .1409E+01 .5954E+00 .2380E+00 .5248E+00 .1730E+00 .6978E+00
.4320E+03 .1814E+01 .7723E+00 .3058E+00 .6807E+00 .2235E+00 .9043E+00
.4330E+03 .1821E+01 .7800E+00 .3061E+00 .6876E+00 .2250E+00 .9125E+00
.4340E+03 .1690E+01 .7274E+00 .2830E+00 .6411E+00 .2091E+00 .8502E+00
